Area,Year,Population,Violent_Crime_Count,Violent_Crime_Rate,Murder_Count,Murder_Rate,Rape_Revised_Count,Rape_Revised_Rate,Rape_Legacy_Count,Rape_Legacy_Rate,Robbery_Count,Robbery_Rate,Aggravated_Assault_Count,Aggravated_Assault_Rate,Property_Crime_Count,Property_Crime_Rate,Burglary_Count,Burglary_Rate,Larceny_Theft_Count,Larceny_Theft_Rate,Motor_Vehicle_Theft_Count,Motor_Vehicle_Theft_Rate,Row_Type
Kentucky,2015.0,4424611.0,9887.0,223.5,219.0,4.9,1644.0,37.2,1165.0,26.3,3314.0,74.9,4710.0,106.5,97545.0,2204.6,22526.0,509.1,67143.0,1517.5,7876.0,178.0,Yearly
Kentucky,2016.0,4436974.0,10308.0,232.3,260.0,5.9,1641.0,37.0,1174.0,26.5,3369.0,75.9,5038.0,113.5,97158.0,2189.7,20834.0,469.6,66438.0,1497.4,9886.0,222.8,Yearly
Kentucky,,,4.3,4.0,18.7,18.4,-0.2,-0.5,0.8,0.5,1.7,1.4,7.0,6.7,-0.4,-0.7,-7.5,-7.8,-1.0,-1.3,25.5,25.2,Percent_Change
Mississippi,2015.0,2989390.0,8190.0,274.0,253.0,8.5,1158.0,38.7,851.0,28.5,2312.0,77.3,4467.0,149.4,85785.0,2869.6,25068.0,838.6,56446.0,1888.2,4271.0,142.9,Yearly
Mississippi,2016.0,2988726.0,8383.0,280.5,238.0,8.0,1277.0,42.7,905.0,30.3,2397.0,80.2,4471.0,149.6,82732.0,2768.1,23354.0,781.4,55054.0,1842.1,4324.0,144.7,Yearly
Mississippi,,,2.4,2.4,-5.9,-5.9,10.3,10.3,6.3,6.4,3.7,3.7,0.1,0.1,-3.6,-3.5,-6.8,-6.8,-2.5,-2.4,1.2,1.3,Percent_Change
Tennessee,2015.0,6595056.0,40816.0,618.9,418.0,6.3,2801.0,42.5,2032.0,30.8,7499.0,113.7,30098.0,456.4,196047.0,2972.6,43753.0,663.4,139259.0,2111.6,13035.0,197.6,Yearly
Tennessee,2016.0,6651194.0,42097.0,632.9,486.0,7.3,2714.0,40.8,1991.0,29.9,7813.0,117.5,31084.0,467.3,189835.0,2854.1,40312.0,606.1,134404.0,2020.7,15119.0,227.3,Yearly
Tennessee,,,3.1,2.3,16.3,15.3,-3.1,-3.9,-2.0,-2.8,4.2,3.3,3.3,2.4,-3.2,-4.0,-7.9,-8.6,-3.5,-4.3,16.0,15.0,Percent_Change
West South Central,2015.0,38983866.0,170910.0,438.4,2238.0,5.7,18017.0,46.2,13030.0,33.4,42620.0,109.3,108035.0,277.1,1148388.0,2945.8,240158.0,616.0,814571.0,2089.5,93659.0,240.3,Yearly
West South Central,2016.0,39456071.0,181653.0,460.4,2493.0,6.3,19365.0,49.1,14240.0,36.1,44175.0,112.0,115620.0,293.0,1138043.0,2884.3,236281.0,598.8,803057.0,2035.3,98705.0,250.2,Yearly
West South Central,,,6.3,5.0,11.4,10.1,7.5,6.2,9.3,8.0,3.6,2.4,7.0,5.7,-0.9,-2.1,-1.6,-2.8,-1.4,-2.6,5.4,4.1,Percent_Change
Arkansas,2015.0,2977853.0,15769.0,529.5,189.0,6.3,2008.0,67.4,1425.0,47.9,2117.0,71.1,11455.0,384.7,97391.0,3270.5,22851.0,767.4,68720.0,2307.7,5820.0,195.4,Yearly
Arkansas,2016.0,2988248.0,16461.0,550.9,216.0,7.2,2143.0,71.7,1545.0,51.7,2120.0,70.9,11982.0,401.0,97673.0,3268.6,23771.0,795.5,66747.0,2233.6,7155.0,239.4,Yearly
Arkansas,,,4.4,4.0,14.3,13.9,6.7,6.4,8.4,8.0,0.1,-0.2,4.6,4.2,0.3,-0.1,4.0,3.7,-2.9,-3.2,22.9,22.5,Percent_Change
Louisiana,2015.0,4668960.0,25202.0,539.8,492.0,10.5,1733.0,37.1,1246.0,26.7,5561.0,119.1,17416.0,373.0,157708.0,3377.8,35457.0,759.4,112520.0,2410.0,9731.0,208.4,Yearly
Louisiana,2016.0,4681666.0,26502.0,566.1,554.0,11.8,1816.0,38.8,1328.0,28.4,5576.0,119.1,18556.0,396.4,154386.0,3297.7,34667.0,740.5,109380.0,2336.3,10339.0,220.8,Yearly
Louisiana,,,5.2,4.9,12.6,12.3,4.8,4.5,6.6,6.3,0.3,,6.5,6.3,-2.1,-2.4,-2.2,-2.5,-2.8,-3.1,6.2,6.0,Percent_Change
Oklahoma,2015.0,3907414.0,16746.0,428.6,240.0,6.1,1953.0,50.0,1418.0,36.3,3018.0,77.2,11535.0,295.2,114055.0,2918.9,28783.0,736.6,74678.0,1911.2,10594.0,271.1,Yearly
Oklahoma,2016.0,3923561.0,17648.0,449.8,245.0,6.2,2039.0,52.0,1509.0,38.5,3162.0,80.6,12202.0,311.0,117037.0,2982.9,29103.0,741.7,75779.0,1931.4,12155.0,309.8,Yearly
Oklahoma,,,5.4,5.0,2.1,1.7,4.4,4.0,6.4,6.0,4.8,4.3,5.8,5.3,2.6,2.2,1.1,0.7,1.5,1.1,14.7,14.3,Percent_Change
Texas,2015.0,27429639.0,113193.0,412.7,1317.0,4.8,12323.0,44.9,8941.0,32.6,31924.0,116.4,67629.0,246.6,779234.0,2840.8,153067.0,558.0,558653.0,2036.7,67514.0,246.1,Yearly
Texas,2016.0,27862596.0,121042.0,434.4,1478.0,5.3,13367.0,48.0,9858.0,35.4,33317.0,119.6,72880.0,261.6,768947.0,2759.8,148740.0,533.8,551151.0,1978.1,69056.0,247.8,Yearly
Texas,,,6.9,5.3,12.2,10.5,8.5,6.8,10.3,8.5,4.4,2.7,7.8,6.1,-1.3,-2.9,-2.8,-4.3,-1.3,-2.9,2.3,0.7,Percent_Change
West,2015.0,75834288.0,301773.0,397.9,3194.0,4.2,31615.0,41.7,22994.0,30.3,82557.0,108.9,184407.0,243.2,2123048.0,2799.6,402703.0,531.0,1437787.0,1896.0,282558.0,372.6,Yearly
West,2016.0,76657000.0,320706.0,418.4,3449.0,4.5,33298.0,43.4,24562.0,32.0,86301.0,112.6,197658.0,257.8,2120808.0,2766.6,387049.0,504.9,1424850.0,1858.7,308909.0,403.0,Yearly
West,,,6.3,5.1,8.0,6.8,5.3,4.2,6.8,5.7,4.5,3.4,7.2,6.0,-0.1,-1.2,-3.9,-4.9,-0.9,-2.0,9.3,8.2,Percent_Change
Mountain,2015.0,23492558.0,94784.0,403.5,917.0,3.9,12938.0,55.1,9424.0,40.1,20236.0,86.1,60693.0,258.3,662713.0,2820.9,125323.0,533.5,470974.0,2004.8,66416.0,282.7,Yearly
Mountain,2016.0,23855067.0,102674.0,430.4,1124.0,4.7,13126.0,55.0,9689.0,40.6,21739.0,91.1,66685.0,279.5,675111.0,2830.1,122629.0,514.1,474519.0,1989.2,77963.0,326.8,Yearly
Mountain,,,8.3,6.7,22.6,20.7,1.5,-0.1,2.8,1.2,7.4,5.8,9.9,8.2,1.9,0.3,-2.1,-3.6,0.8,-0.8,17.4,15.6,Percent_Change
Arizona,2015.0,6817565.0,27968.0,410.2,306.0,4.5,3109.0,45.6,2268.0,33.3,6360.0,93.3,18193.0,266.9,207184.0,3039.0,38010.0,557.5,152388.0,2235.2,16786.0,246.2,Yearly
Arizona,2016.0,6931071.0,32583.0,470.1,380.0,5.5,3290.0,47.5,2452.0,35.4,7055.0,101.8,21858.0,315.4,206432.0,2978.4,37736.0,544.4,150275.0,2168.1,18421.0,265.8,Yearly
Arizona,,,16.5,14.6,24.2,22.1,5.8,4.1,8.1,6.3,10.9,9.1,20.1,18.2,-0.4,-2.0,-0.7,-2.3,-1.4,-3.0,9.7,7.9,Percent_Change
Colorado,2015.0,5448819.0,17348.0,318.4,173.0,3.2,3328.0,61.1,2422.0,44.4,3315.0,60.8,10532.0,193.3,144044.0,2643.6,23490.0,431.1,104532.0,1918.4,16022.0,294.0,Yearly
Colorado,2016.0,5540545.0,18983.0,342.6,204.0,3.7,3555.0,64.2,2619.0,47.3,3528.0,63.7,11696.0,211.1,151850.0,2740.7,23903.0,431.4,108336.0,1955.3,19611.0,354.0,Yearly
Colorado,,,9.4,7.6,17.9,16.0,6.8,5.1,8.1,6.3,6.4,4.7,11.1,9.2,5.4,3.7,1.8,0.1,3.6,1.9,22.4,20.4,Percent_Change
Idaho,2015.0,1652828.0,3593.0,217.4,32.0,1.9,703.0,42.5,508.0,30.7,191.0,11.6,2667.0,161.4,28912.0,1749.2,6124.0,370.5,20916.0,1265.5,1872.0,113.3,Yearly
Idaho,2016.0,1683140.0,3876.0,230.3,49.0,2.9,719.0,42.7,529.0,31.4,213.0,12.7,2895.0,172.0,29357.0,1744.2,6318.0,375.4,20962.0,1245.4,2077.0,123.4,Yearly
Idaho,,,7.9,5.9,53.1,50.4,2.3,0.4,4.1,2.3,11.5,9.5,8.5,6.6,1.5,-0.3,3.2,1.3,0.2,-1.6,11.0,9.0,Percent_Change
Montana,2015.0,1032073.0,3647.0,353.4,38.0,3.7,572.0,55.4,405.0,39.2,210.0,20.3,2827.0,273.9,27276.0,2642.8,3887.0,376.6,20966.0,2031.4,2423.0,234.8,Yearly
Montana,2016.0,1042520.0,3840.0,368.3,36.0,3.5,578.0,55.4,414.0,39.7,266.0,25.5,2960.0,283.9,27976.0,2683.5,3934.0,377.4,21299.0,2043.0,2743.0,263.1,Yearly
Montana,,,5.3,4.2,-5.3,-6.2,1.0,,2.2,1.2,26.7,25.4,4.7,3.7,2.6,1.5,1.2,0.2,1.6,0.6,13.2,12.1,Percent_Change
Nevada,2015.0,2883758.0,20118.0,697.6,178.0,6.2,1688.0,58.5,1232.0,42.7,6287.0,218.0,11965.0,414.9,77137.0,2674.9,22360.0,775.4,43426.0,1505.9,11351.0,393.6,Yearly
Nevada,2016.0,2940058.0,19936.0,678.1,224.0,7.6,1733.0,58.9,1292.0,43.9,6340.0,215.6,11639.0,395.9,76047.0,2586.6,18850.0,641.1,44017.0,1497.1,13180.0,448.3,Yearly
Nevada,,,-0.9,-2.8,25.8,23.4,2.7,0.7,4.9,2.9,0.8,-1.1,-2.7,-4.6,-1.4,-3.3,-15.7,-17.3,1.4,-0.6,16.1,13.9,Percent_Change
New Mexico,2015.0,2080328.0,13672.0,657.2,117.0,5.6,1663.0,79.9,1218.0,58.5,2485.0,119.5,9407.0,452.2,77212.0,3711.5,17084.0,821.2,51485.0,2474.9,8643.0,415.5,Yearly
New Mexico,2016.0,2081015.0,14619.0,702.5,139.0,6.7,1526.0,73.3,1117.0,53.7,2737.0,131.5,10217.0,491.0,81931.0,3937.1,17281.0,830.4,52907.0,2542.4,11743.0,564.3,Yearly
New Mexico,,,6.9,6.9,18.8,18.8,-8.2,-8.3,-8.3,-8.3,10.1,10.1,8.6,8.6,6.1,6.1,1.2,1.1,2.8,2.7,35.9,35.8,Percent_Change
Utah,2015.0,2990632.0,7138.0,238.7,57.0,1.9,1704.0,57.0,1247.0,41.7,1329.0,44.4,4048.0,135.4,89797.0,3002.6,12606.0,421.5,68464.0,2289.3,8727.0,291.8,Yearly
Utah,2016.0,3051217.0,7407.0,242.8,72.0,2.4,1520.0,49.8,1116.0,36.6,1541.0,50.5,4274.0,140.1,90058.0,2951.5,12836.0,420.7,67834.0,2223.2,9388.0,307.7,Yearly
Utah,,,3.8,1.7,26.3,23.8,-10.8,-12.6,-10.5,-12.3,16.0,13.6,5.6,3.5,0.3,-1.7,1.8,-0.2,-0.9,-2.9,7.6,5.4,Percent_Change
Wyoming,2015.0,586555.0,1300.0,221.6,16.0,2.7,171.0,29.2,124.0,21.1,59.0,10.1,1054.0,179.7,11151.0,1901.1,1762.0,300.4,8797.0,1499.8,592.0,100.9,Yearly
Wyoming,2016.0,585501.0,1430.0,244.2,20.0,3.4,205.0,35.0,150.0,25.6,59.0,10.1,1146.0,195.7,11460.0,1957.3,1771.0,302.5,8889.0,1518.2,800.0,136.6,Yearly
Wyoming,,,10.0,10.2,25.0,25.2,19.9,20.1,21.0,21.2,0.0,0.2,8.7,8.9,2.8,3.0,0.5,0.7,1.0,1.2,35.1,35.4,Percent_Change
Pacific,2015.0,52341730.0,206989.0,395.5,2277.0,4.4,18677.0,35.7,13570.0,25.9,62321.0,119.1,123714.0,236.4,1460335.0,2790.0,277380.0,529.9,966813.0,1847.1,216142.0,412.9,Yearly
Pacific,2016.0,52801933.0,218032.0,412.9,2325.0,4.4,20172.0,38.2,14873.0,28.2,64562.0,122.3,130973.0,248.0,1445697.0,2738.0,264420.0,500.8,950331.0,1799.8,230946.0,437.4,Yearly
Pacific,,,5.3,4.4,2.1,1.2,8.0,7.1,9.6,8.6,3.6,2.7,5.9,4.9,-1.0,-1.9,-4.7,-5.5,-1.7,-2.6,6.8,5.9,Percent_Change
Alaska,2015.0,737709.0,5391.0,730.8,59.0,8.0,900.0,122.0,648.0,87.8,761.0,103.2,3671.0,497.6,20806.0,2820.4,3511.0,475.9,15249.0,2067.1,2046.0,277.3,Yearly
Alaska,2016.0,741894.0,5966.0,804.2,52.0,7.0,1053.0,141.9,757.0,102.0,850.0,114.6,4011.0,540.6,24876.0,3353.0,4053.0,546.3,17766.0,2394.7,3057.0,412.1,Yearly
Alaska,,,10.7,10.0,-11.9,-12.4,17.0,16.3,16.8,16.2,11.7,11.1,9.3,8.6,19.6,18.9,15.4,14.8,16.5,15.8,49.4,48.6,Percent_Change
California,2015.0,38993940.0,166883.0,428.0,1861.0,4.8,12811.0,32.9,9341.0,24.0,52862.0,135.6,99349.0,254.8,1024914.0,2628.4,197404.0,506.2,656517.0,1683.6,170993.0,438.5,Yearly
California,2016.0,39250017.0,174796.0,445.3,1930.0,4.9,13702.0,34.9,10149.0,25.9,54789.0,139.6,104375.0,265.9,1002070.0,2553.0,188304.0,479.8,637010.0,1623.0,176756.0,450.3,Yearly
California,,,4.7,4.1,3.7,3.0,7.0,6.3,8.7,7.9,3.6,3.0,5.1,4.4,-2.2,-2.9,-4.6,-5.2,-3.0,-3.6,3.4,2.7,Percent_Change
Hawaii,2015.0,1425157.0,3530.0,247.7,29.0,2.0,538.0,37.8,382.0,26.8,1085.0,76.1,1878.0,131.8,45389.0,3184.8,6810.0,477.8,33140.0,2325.4,5439.0,381.6,Yearly
Hawaii,2016.0,1428557.0,4417.0,309.2,35.0,2.5,619.0,43.3,447.0,31.3,994.0,69.6,2769.0,193.8,42753.0,2992.7,6017.0,421.2,31082.0,2175.8,5654.0,395.8,Yearly
Hawaii,,,25.1,24.8,20.7,20.4,15.1,14.8,17.0,16.7,-8.4,-8.6,47.4,47.1,-5.8,-6.0,-11.6,-11.9,-6.2,-6.4,4.0,3.7,Percent_Change
Oregon,2015.0,4024634.0,10680.0,265.4,110.0,2.7,1650.0,41.0,1193.0,29.6,2163.0,53.7,6757.0,167.9,119752.0,2975.5,18541.0,460.7,90514.0,2249.0,10697.0,265.8,Yearly
Oregon,2016.0,4093465.0,10830.0,264.6,113.0,2.8,1721.0,42.0,1261.0,30.8,2278.0,55.6,6718.0,164.1,121345.0,2964.4,16866.0,412.0,91286.0,2230.0,13193.0,322.3,Yearly
Oregon,,,1.4,-0.3,2.7,1.0,4.3,2.5,5.7,3.9,5.3,3.5,-0.6,-2.2,1.3,-0.4,-9.0,-10.6,0.9,-0.8,23.3,21.3,Percent_Change
Washington,2015.0,7160290.0,20505.0,286.4,218.0,3.0,2778.0,38.8,2006.0,28.0,5450.0,76.1,12059.0,168.4,249474.0,3484.1,51114.0,713.9,171393.0,2393.7,26967.0,376.6,Yearly
Washington,2016.0,7288000.0,22023.0,302.2,195.0,2.7,3077.0,42.2,2259.0,31.0,5651.0,77.5,13100.0,179.7,254653.0,3494.1,49180.0,674.8,173187.0,2376.3,32286.0,443.0,Yearly
Washington,,,7.4,5.5,-10.6,-12.1,10.8,8.8,12.6,10.6,3.7,1.9,8.6,6.7,2.1,0.3,-3.8,-5.5,1.0,-0.7,19.7,17.6,Percent_Change
Puerto Rico,2015.0,3473181.0,7629.0,219.7,584.0,16.8,165.0,4.8,123.0,3.5,4070.0,117.2,2810.0,80.9,37717.0,1085.9,9150.0,263.4,24493.0,705.2,4074.0,117.3,Yearly
Puerto Rico,2016.0,3411307.0,7643.0,224.0,679.0,19.9,169.0,5.0,128.0,3.8,3201.0,93.8,3594.0,105.4,35201.0,1031.9,8251.0,241.9,23163.0,679.0,3787.0,111.0,Yearly
Puerto Rico,,,0.2,2.0,16.3,18.4,2.4,4.3,4.1,6.0,-21.4,-19.9,27.9,30.2,-6.7,-5.0,-9.8,-8.2,-5.4,-3.7,-7.0,-5.4,Percent_Change
